index,category,sub_category,job_title,province,job_company,job_industry,job_finance,job_welfare,job_experience,job_education,job_skills,create_time,scale_lower,scale_high,city,district,street
0,后端开发,Java,高级/资深java工程师,浙江,墅泽智家,智能硬件,不需要融资,"定期体检,补充医疗保险,年终奖,五险一金",3,大专,"Java,SpringCloud,MySQL,Redis",2024-08-31,20,99,杭州,西湖区,西溪
6,后端开发,Java,高级Java开发工程师,浙江,英祐科技,电子商务,D轮及以上,"零食下午茶,带薪年假,年终奖,股票期权,五险一金,定期体检,节日福利",4,本科,"Java,中大型项目架构设计经验,架构师,分布式技术,Redis,,,,,,,,,",2024-08-31,500,999,杭州,西湖区,文三路
8,后端开发,Java,java实习生,浙江,星云科技,电子商务,A轮,"定期体检,年终奖,节日福利,全勤奖,带薪年假,员工用车,五险一金,员工旅游,每月团建基金,股票期权,零食下午茶,差旅补贴",0,3个月,"Java,Spring,MySQL,实习,本科",2024-08-31,100,499,杭州,钱塘区,和达东东城
14,后端开发,Java,资深Java开发工程师（须有算法工程经验）,浙江,浙江意竞网络科技,游戏,天使轮,"年终奖,生日福利,带薪年假,节日福利,五险一金",3,本科,"Java,MyBatis,MySQL",2024-08-31,500,999,杭州,西湖区,西溪
16,后端开发,Java,Java开发工程师（微服务方向）(J10315),浙江,收钱吧,互联网金融,C轮,"零食下午茶,员工旅游,团建聚餐,五险一金,节日福利,餐补,绩效奖金,带薪年假,年终奖",2,本科,"后端工程师,计算机/软件工程相关经验,Java开发经验,",2024-08-31,1000,9999,杭州,西湖区,西溪
19,后端开发,Java,高级java开发工程师（提供住宿，ERP优先）,浙江,南京思美软件,互联网,未融资,"交通补助,餐补,定期体检,带薪年假,员工旅游,年终奖,加班补助,节日福利,五险一金,零食下午茶",3,大专,"Java,SpringCloud,Nginx,Docker,不接受居家办公,,,,,,,,,",2024-08-31,100,499,杭州,上城区,钱江新城
20,后端开发,Java,Java工程师,浙江,小数汇智,互联网,天使轮,"团建聚餐,有无线网,带薪年假,生日福利,股票期权,节日福利,员工旅游,年终奖,五险一金,意外险,定期体检,零食下午茶",2,本科,"Java,SpringCloud,Hadoop,不接受居家办公,,",2024-08-31,20,99,杭州,余杭区,仓前
21,后端开发,Java,中级java开发工程师,浙江,邦睿科技,计算机软件,C轮,"通讯补贴,五险一金,加班补助,住房补贴,团建聚餐,绩效奖金,高温补贴,交通补助,年终奖,定期体检,零食下午茶,带薪年假,节日福利,生日福利",3,本科,"Java,Golang,SpringCloud,MySQL,Redis,微服务经验,,,",2024-08-31,100,499,杭州,上城区,望江
24,后端开发,Java,JAVA开发工程师--电商方向,浙江,CJ,互联网,不需要融资,"生日福利,节日福利,团建聚餐,全勤奖,带薪年假,定期体检,零食下午茶,五险一金",2,本科,"Java,不接受居家办公,大数据处理经验,SaaS,分布式技术,,,,,,,,,",2024-08-31,500,999,杭州,西湖区,西湖
26,后端开发,Java,资深java开发工程师,浙江,哈啰普惠,互联网,D轮及以上,"五险一金,定期体检,带薪年假,年终奖,加班补助,团建聚餐,节假日加班费,股票期权,节日福利",2,本科,Java,2024-08-31,1000,9999,杭州,西湖区,翠苑
28,后端开发,Java,java开发,浙江,施强数智健康产业,生物/制药,不需要融资,"高温补贴,股票期权,保底工资,底薪加提成,餐补,带薪年假,年终奖,通讯补贴,工龄奖,节日福利,绩效奖金,团建聚餐,五险一金,补充医疗保险,交通补助",0,3个月,"Java,Spring,SpringCloud,MyBatis,MySQL,Redis,",2024-08-31,1000,9999,杭州,滨江区,长河
