category,sub_category,job_title,province,job_location,job_company,job_industry,job_finance,job_scale,job_welfare,job_salary_range,job_experience,job_education,job_skills,create_time
后端开发,Java,高级/资深java工程师,浙江,杭州·西湖区·西溪,墅泽智家,智能硬件,不需要融资,20-99人,定期体检，补充医疗保险，年终奖，五险一金,28-50K·13薪,5-10年,大专,"Java,SpringCloud,MySQL,Redis",2024-08-31
后端开发,Java,蚂蚁国际-高级JAVA开发工程师-钱包科技,浙江,杭州·西湖区·西溪,蚂蚁集团,互联网,D轮及以上,10000人以上,年终奖，股票期权，住房补贴，带薪年假，交通补助，加班补助，员工旅游，定期体检，餐补，零食下午茶，免费班车，五险一金，全勤奖，通讯补贴，节日福利，包吃,30-60K·16薪,3-5年,本科,"Java,Spring,Kafka,MySQL,Redis",2024-08-31
后端开发,Java,资深java开发工程师,浙江,杭州·西湖区·西溪,阿里云,互联网,不需要融资,10000人以上,年终奖，五险一金，免费班车，餐补，节日福利，带薪年假，定期体检，绩效奖金,30-60K,3-5年,本科,"不接受居家办公,Java,Spring,JVM,MySQL,Redis,,,",2024-08-31
后端开发,Java,后端开发实习生-飞书企业应用,浙江,杭州·西湖区·西溪,北京字节跳动,互联网,不需要融资,10000人以上,带薪年假，餐饮及下午茶，家属自选保险，绩效奖金，免费健身设施，定期体检，年度体检，家庭关爱假，五险一金，弹性工作制，加班补助，法定节假日三薪，年终奖，包吃，补充医疗保险，节假日加班费，零食下午茶，就近租房补贴，意外险，节日礼品,200-250元/天,4天/周,3个月,"Java,C++,SpringCloud,Redis,MySQL",2024-08-31
后端开发,Java,开发实习生,浙江,杭州,图讯科技,计算机软件,不需要融资,100-499人,员工旅游，补充医疗保险，餐补，定期体检，带薪年假，五险一金，年终奖，交通补助，股票期权，通讯补贴，节日福利,130-180元/天,4天/周,6个月,"Java,Spring,MySQL",2024-08-31
后端开发,Java,FreeSwitch开发,浙江,杭州,某中型已上市计算机软件公司,计算机软件,已上市,100-499人,定期体检，员工旅游，五险一金，餐补，通讯补贴，节日福利,15-25K,经验不限,本科,"Java,C++,C,SpringCloud,MySQL,呼叫中心,",2024-08-31
后端开发,Java,高级Java开发工程师,浙江,杭州·西湖区·文三路,英祐科技,电子商务,D轮及以上,500-999人,零食下午茶，带薪年假，年终奖，股票期权，五险一金，定期体检，节日福利,25-35K·14薪,10年以上,本科,"Java,中大型项目架构设计经验,架构师,分布式技术,Redis,,,,,,,,,",2024-08-31
后端开发,Java,高级java工程师,浙江,杭州·滨江区·长河,阿里巴巴国际事业部,互联网,已上市,10000人以上,餐补，包吃，员工旅游，住房补贴，股票期权，定期体检，五险一金，节日福利，年终奖，补充医疗保险，免费班车，带薪年假,30-50K·16薪,3-5年,本科,"Java,支付,MySQL,Redis,后端工程师,资金,,",2024-08-31
后端开发,Java,java实习生,浙江,杭州·钱塘区·和达东东城,星云科技,电子商务,A轮,100-499人,定期体检，年终奖，节日福利，全勤奖，带薪年假，员工用车，五险一金，员工旅游，每月团建基金，股票期权，零食下午茶，差旅补贴,150-180元/天,4天/周,3个月,"Java,Spring,MySQL,实习,本科",2024-08-31
后端开发,Java,供应链库存开发工程师,浙江,杭州·余杭区·仓前,阿里巴巴集团,互联网,已上市,10000人以上,五险一金，股票期权，节日福利，交通补助，年终奖，员工旅游，补充医疗保险，餐补，免费班车，零食下午茶,25-40K·16薪,经验不限,本科,"Java,供应链,高并发",2024-08-31
后端开发,Java,高级后端工程师,浙江,杭州,某互联网公司,互联网,A轮,20-99人,五险一金，年终奖，餐补，团建聚餐，股票期权，带薪年假，定期体检，零食下午茶，节日福利,30-45K·16薪,3-5年,本科,"Java,Golang,Spring,SpringCloud,Kafka,MySQL,",2024-08-31
后端开发,Java,蚂蚁集团-SRE专家-国内【平台工程】,浙江,杭州·西湖区·西溪,蚂蚁集团,互联网,D轮及以上,10000人以上,员工旅游，定期体检，补充医疗保险，团建聚餐，年终奖，加班补助，夜班补助，餐补，五险一金，法定节假日三薪，节日福利，绩效奖金，生日福利，意外险，免费班车，股票期权，带薪年假,30-60K·15薪,5-10年,本科,"Java,其他,架构设计经验,Python",2024-08-31
后端开发,Java,Java开发工程师-上海/杭州,浙江,杭州,某大型知名互联网公司,互联网,10000人以上,无,,40-70K·15薪,5-10年,本科,不接受居家办公,2024-08-31
后端开发,Java,服务端研发工程师-生活服务（用户增长）,浙江,杭州,某大型互联网上市公司,互联网,D轮及以上,10000人以上,定期体检，年终奖，零食下午茶，餐补，补充医疗保险，股票期权，五险一金，节日福利,30-55K,经验不限,本科,"Java,Spring,MySQL",2024-08-31
后端开发,Java,资深Java开发工程师（须有算法工程经验）,浙江,杭州·西湖区·西溪,浙江意竞网络科技,游戏,天使轮,500-999人,年终奖，生日福利，带薪年假，节日福利，五险一金,20-30K,5-10年,本科,"Java,MyBatis,MySQL",2024-08-31
后端开发,Java,Java开发工程师（线上面试/大厂直招）,浙江,杭州,某大型互联网公司,计算机软件,不需要融资,10000人以上,意外险，交通补助，加班补助，餐补，零食下午茶，保底工资，股票期权，定期体检，节假日加班费，节日福利，五险一金，员工旅游，补充医疗保险，年终奖，夜班补助，免费班车，法定节假日三薪，绩效奖金,15-30K·16薪,经验不限,本科,"Java,C++,Python,Spring,SpringCloud,MyBatis,,,",2024-08-31
后端开发,Java,Java开发工程师（微服务方向）(J10315),浙江,杭州·西湖区·西溪,收钱吧,互联网金融,C轮,1000-9999人,零食下午茶，员工旅游，团建聚餐，五险一金，节日福利，餐补，绩效奖金，带薪年假，年终奖,15-30K·14薪,3-5年,本科,"后端工程师,计算机/软件工程相关经验,Java开发经验,",2024-08-31
后端开发,Java,资深风控Java开发,浙江,杭州·滨江区·长河,网易,互联网,已上市,10000人以上,五险一金，补充医疗保险，全勤奖，包吃，节日福利，免费班车，年终奖，带薪年假，定期体检,30-45K·16薪,3-5年,本科,"Java,Spring,Redis,不接受居家办公,架构设计经验,风控",2024-08-31
